"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
0.00137401300547778,0.493419453522492,0.118,0.084,1,"Daxx","Not Significant"
0.00140232368055318,0.340238536358629,0.341,0.294,1,"Lgals9","Not Significant"
0.00141360668281578,0.413582147809576,0.179,0.138,1,"Smarca4","Not Significant"
0.00141993298478549,0.302189838597109,0.296,0.247,1,"Pirb","Not Significant"
0.00143571919381595,0.274699477654706,0.357,0.307,1,"Arglu1","Not Significant"
0.00144383184976957,0.394418889355429,0.148,0.111,1,"Irgm1","Not Significant"
0.00146879021795414,-0.36482004585317,0.197,0.229,1,"Txnrd1","Not Significant"
0.00147255314300668,0.29701685037776,0.443,0.404,1,"Ccr5","Not Significant"
0.00148476072777266,0.423785426288296,0.283,0.238,1,"Cyp4f18","Not Significant"
0.00150252870807859,0.323028283347006,0.545,0.525,1,"Tspo","Not Significant"
0.0015189490340687,0.368229625205647,0.122,0.087,1,"Prelid3b","Not Significant"
0.00156776914399874,0.296501548835264,0.396,0.346,1,"Tapbp","Not Significant"
0.00157405114973439,-0.278645652520227,0.223,0.259,1,"Hcfc1r1","Not Significant"
0.00164401277324626,0.276949266981822,0.13,0.094,1,"Coro2a","Not Significant"
0.00166623136650692,0.435132317756211,0.105,0.073,1,"Gnptab","Not Significant"
0.0017629490819445,0.261826392919277,0.215,0.171,1,"Itgax","Not Significant"
0.00182922123282021,0.252846567804769,0.35,0.297,1,"Abi1","Not Significant"
0.0018772734916366,0.386603371055969,0.277,0.233,1,"Mmp14","Not Significant"
0.00196719217678923,-0.403226094997113,0.14,0.17,1,"Gpcpd1","Not Significant"
0.00197205087283723,0.281345113715022,0.266,0.214,1,"Tcirg1","Not Significant"
0.00199903451789698,-0.28041735695722,0.179,0.211,1,"Znrd1","Not Significant"
0.00201291732264608,0.478214006867071,0.169,0.132,1,"Nub1","Not Significant"
0.00202610810697706,0.566215716911574,0.101,0.072,1,"Aarsd1","Not Significant"
0.00204397494023833,0.442877789898051,0.217,0.174,1,"Ptk2b","Not Significant"
0.00204409769644073,0.364174237203137,0.365,0.326,1,"Fgl2","Not Significant"
0.00207699132184636,0.442443795890442,0.16,0.123,1,"Npm3","Not Significant"
0.00212209822337704,0.515506960648535,0.115,0.083,1,"Lyar","Not Significant"
