"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.17058979345109e-42,0.779043581785143,0.338,0.178,1.29502591966776e-37,"31","Hikeshi"
6.80927333875674e-42,0.727787175443491,0.312,0.164,1.70545060042501e-37,"31","Gda"
6.86144185231672e-42,0.949744149688466,0.273,0.134,1.71851672633125e-37,"31","Psme3"
6.9567338480499e-42,0.891442600351237,0.269,0.131,1.74238355958258e-37,"31","Mpp1"
7.06894059181327e-42,0.509063598703903,0.525,0.325,1.77048686062555e-37,"31","Pdcd4"
1.06335825515752e-41,0.878792343571915,0.29,0.146,2.66328708586751e-37,"31","Rae1"
1.77309271122752e-41,0.553006750704288,0.463,0.271,4.44088800454045e-37,"31","Cap1"
1.88708641550449e-41,0.48280127798794,0.596,0.379,4.72639663627254e-37,"31","Mrpl42"
2.16411232529294e-41,0.546653151524935,0.416,0.239,5.4202357299287e-37,"31","Ctsh"
2.23186100501296e-41,0.686933670797098,0.357,0.192,5.58991907315545e-37,"31","Tgs1"
2.88600046737924e-41,0.977313639863538,0.263,0.128,7.22827677059805e-37,"31","Farsa"
3.83504470536923e-41,0.855030146501812,0.293,0.148,9.60525296906776e-37,"31","Rps19bp1"
4.28210229597378e-41,0.522208790685518,0.542,0.339,1.07249534104959e-36,"31","Phf20l1"
6.79290975707418e-41,0.922694247951912,0.258,0.124,1.7013521777568e-36,"31","Qars"
8.10141025215091e-41,0.866829613078298,0.308,0.16,2.02907921175372e-36,"31","Ncbp1"
1.38277470597182e-40,0.601715273040303,0.45,0.264,3.46329752857703e-36,"31","Zcchc17"
1.59111535579768e-40,0.803833768343894,0.332,0.178,3.98510752013088e-36,"31","Rnf4"
1.60099288082246e-40,0.839408898018929,0.305,0.158,4.00984676930793e-36,"31","Virma"
1.69065348685805e-40,0.616626997560364,0.478,0.29,4.23441072318466e-36,"31","Mydgf"
2.89815324002563e-40,0.355323605945516,0.796,0.551,7.2587146049682e-36,"31","Psmb6"
3.33978569685852e-40,0.895181171720353,0.28,0.141,8.36482725635185e-36,"31","Seh1l"
3.73725802502318e-40,0.572584335021827,0.513,0.316,9.36033644947307e-36,"31","Usp15"
3.92467165643315e-40,0.765652562928401,0.412,0.245,9.82973263070248e-36,"31","Ddx18"
3.9431508181725e-40,0.315776084648686,0.792,0.525,9.87601553919486e-36,"31","Nudc"
4.57103318346281e-40,0.579064974706823,0.447,0.262,1.1448609711301e-35,"31","Ndufaf8"
5.94196656313416e-40,0.958934090106348,0.275,0.138,1.48822494540258e-35,"31","Ppp1r35"
6.88914375083291e-40,0.825711012754117,0.301,0.155,1.72545494383361e-35,"31","Aifm1"
7.39208179675483e-40,0.632256104880845,0.452,0.271,1.85142080681522e-35,"31","Cdc42se1"
7.4226098312808e-40,0.782955390067749,0.28,0.139,1.85906685834259e-35,"31","Map7d1"
8.03335551876485e-40,0.311179655214288,0.932,0.792,2.01203422322984e-35,"31","Ndufb1-ps"
9.80817450514023e-40,0.433014918705999,0.649,0.427,2.45655538655742e-35,"31","Aimp1"
1.01463827823673e-39,0.316958862747279,0.4,0.222,2.54126303167172e-35,"31","Cited2"
1.25564879284936e-39,0.774734821596344,0.325,0.172,3.14489796657051e-35,"31","Sart1"
1.92878270634292e-39,0.816728569851336,0.318,0.169,4.83082916630649e-35,"31","Ilf3"
1.95919511408198e-39,0.819958162110397,0.3,0.155,4.90700008272973e-35,"31","Lactb"
2.60094147616866e-39,0.864040477903502,0.286,0.146,6.51431802121203e-35,"31","Tars"
2.85020388484243e-39,0.71409315410884,0.353,0.194,7.13862064997636e-35,"31","Ttc7"
3.035547324436e-39,0.927692103251411,0.254,0.124,7.60283182878242e-35,"31","Dhx38"
3.15852814415858e-39,0.267770652518479,0.945,0.802,7.91084958985959e-35,"31","Atp5a1"
3.1906213975268e-39,0.942873542977297,0.287,0.149,7.99123035224561e-35,"31","Hars"
3.55287170540464e-39,0.421613455584308,0.587,0.366,8.89852247335646e-35,"31","Dpy30"
3.66131709749634e-39,0.939715055975041,0.261,0.129,9.17013480238933e-35,"31","Etv6"
3.66480604993757e-39,0.531131327133363,0.388,0.213,9.17887323267364e-35,"31","Cep83"
3.76590175563799e-39,0.866331505202801,0.307,0.162,9.43207753717091e-35,"31","Mrpl22"
3.79994186993919e-39,0.828860647791152,0.295,0.153,9.51733440744971e-35,"31","Tfam"
6.41857441771242e-39,0.782057019210184,0.336,0.183,1.60759614866025e-34,"31","Clns1a"
6.4479266261489e-39,0.525721483393006,0.466,0.276,1.61494770278525e-34,"31","Rab5c"
7.70411761266439e-39,0.259778752074626,0.998,0.96,1.92957329726792e-34,"31","Hnrnpa2b1"
1.31267738166593e-38,0.773310181489843,0.344,0.19,3.28773177012048e-34,"31","Dnajc10"
1.35190534771784e-38,0.477358430353565,0.601,0.394,3.38598213389411e-34,"31","Wapl"
1.67763709602312e-38,0.922086612621405,0.252,0.124,4.20180987069952e-34,"31","Itgb1bp1"
1.83679295051923e-38,0.429276292377078,0.535,0.337,4.60043162387047e-34,"31","Ppp1r12a"
1.94580027521422e-38,0.489957964937028,0.624,0.418,4.87345136930153e-34,"31","Cyc1"
2.3971800745856e-38,0.76731446768843,0.44,0.275,6.0039772148071e-34,"31","Gm47283"
2.43882579484904e-38,0.619567354773792,0.45,0.27,6.1082830857789e-34,"31","Fam173a"
4.19208115123537e-38,0.396217192155971,0.679,0.452,1.04994864513841e-33,"31","Arpc4"
5.68261422394375e-38,0.29663164534371,0.894,0.712,1.42326755852895e-33,"31","Pomp"
5.95819703909205e-38,0.783656686275152,0.296,0.154,1.49229003041099e-33,"31","Sh3gl1"
9.34955714906753e-38,0.685067648266571,0.386,0.222,2.34169008355545e-33,"31","Prpf19"
1.19478886300201e-37,0.441722064757965,0.656,0.445,2.99246818627483e-33,"31","Eloc"
1.34856221090051e-37,0.578047104183957,0.515,0.325,3.37760891342142e-33,"31","Ranbp2"
1.66703849311302e-37,0.664161984189836,0.295,0.151,4.17526460985087e-33,"31","Sik1"
2.04523373049911e-37,0.282277246648477,0.606,0.363,5.12249240140808e-33,"31","Ccdc34"
3.8000370144833e-37,0.686934542444265,0.401,0.236,9.51757270647488e-33,"31","Sp3"
4.02838556931696e-37,0.782321134380211,0.278,0.142,1.00894944969112e-32,"31","Mef2d"
5.33655692201379e-37,0.619801182169519,0.425,0.253,1.33659404668757e-32,"31","Nsmce1"
6.09215191467213e-37,0.385689461560881,0.668,0.45,1.52584036854878e-32,"31","Ndufa8"
7.81754192203236e-37,0.464485316126192,0.591,0.391,1.95798154979223e-32,"31","Dpm3"
9.73970216820231e-37,0.761011579554626,0.268,0.135,2.43940580504795e-32,"31","Ripk1"
9.89231333538042e-37,0.878103390100046,0.272,0.14,2.47762879797938e-32,"31","Eif2ak1"
1.03198972137559e-36,0.848720078893781,0.291,0.154,2.58472145615731e-32,"31","Diaph2"
1.12090461427329e-36,0.70496673024277,0.324,0.175,2.80741769690887e-32,"31","Fam89b"
1.24749680565684e-36,0.539315446478223,0.455,0.275,3.12448049944813e-32,"31","Dock8"
1.87033178885929e-36,0.359455174616026,0.637,0.425,4.68443299837699e-32,"31","Tpi1"
2.15807518089524e-36,0.322374119967309,0.866,0.66,5.40511509807023e-32,"31","Psma2"
2.22334870104649e-36,0.351742798286651,0.809,0.592,5.56859915664104e-32,"31","Psmb5"
3.69444901536921e-36,0.375843151663549,0.691,0.464,9.25311700389373e-32,"31","Snx3"
3.80318731876664e-36,0.817478051344124,0.268,0.136,9.52546295858292e-32,"31","Rpl9-ps6"
4.92959260046798e-36,0.59067391034677,0.432,0.259,1.23466576271321e-31,"31","Cdc123"
5.86955584394757e-36,0.715584971186267,0.367,0.212,1.47008895667511e-31,"31","Ctdspl2"
6.46277561543616e-36,0.329995922685267,0.74,0.505,1.61866678064214e-31,"31","Scaf11"
8.19873369725983e-36,0.827225031757424,0.262,0.133,2.0534548418157e-31,"31","Ttc32"
1.3810621491077e-35,0.847536363261064,0.265,0.136,3.45900825865515e-31,"31","Dohh"
1.94106331557532e-35,0.876667487862187,0.269,0.139,4.86158718018995e-31,"31","Prkag1"
3.86012937889507e-35,0.647962355164065,0.393,0.231,9.6680800423806e-31,"31","Cnot6"
4.71143041366355e-35,0.547439020849497,0.5,0.32,1.18002486140617e-30,"31","Txn2"
6.20311701821878e-35,0.412066009116078,0.651,0.444,1.55363268838308e-30,"31","Cbx1"
7.88265238890501e-35,0.487044240327732,0.407,0.24,1.97428911732515e-30,"31","Casp3"
8.64216341021181e-35,0.580347634786168,0.451,0.279,2.16451624772165e-30,"31","Cfdp1"
1.06561253479026e-34,0.819665496192578,0.365,0.219,2.66893315463569e-30,"31","Ggh"
1.07629613356308e-34,0.703666215538809,0.347,0.198,2.6956912961221e-30,"31","Stk16"
1.23100355047177e-34,0.396367533758972,0.708,0.496,3.0831714925116e-30,"31","Hspa4"
1.35090551768808e-34,0.697116533159498,0.339,0.192,3.38347795960157e-30,"31","Mrps25"
1.41678947269357e-34,0.250681517664496,0.922,0.776,3.54849091330832e-30,"31","Atp5d"
1.74480421656626e-34,0.647305564816925,0.39,0.23,4.37003664081185e-30,"31","Snrnp200"
2.02857110521592e-34,0.479901456841922,0.494,0.31,5.0807591901238e-30,"31","Gls"
2.60339975477143e-34,0.685310523375237,0.338,0.19,6.52047502580051e-30,"31","Apopt1"
2.80840981851337e-34,0.673289867144468,0.322,0.178,7.03394323144858e-30,"31","Fnbp4"
2.8145868973351e-34,0.626640245948777,0.285,0.149,7.04941434306549e-30,"31","Svil"
3.09710650327432e-34,0.319708070236612,0.724,0.494,7.75701294810086e-30,"31","Srsf11"
3.29728540366483e-34,0.28371721431108,0.829,0.62,8.25838102201892e-30,"31","Fus"
3.88518948980009e-34,0.825872924073135,0.311,0.174,9.73084559615331e-30,"31","Psmd9"
4.0718692676509e-34,0.461664856610722,0.394,0.242,1.01984037677584e-29,"31","Grn"
5.59958807977717e-34,0.626949266558279,0.433,0.267,1.40247283046099e-29,"31","Lars"
5.87069377288346e-34,0.683039365936159,0.292,0.155,1.47037396235639e-29,"31","Adipor2"
6.13751119148376e-34,0.364554785256297,0.735,0.52,1.53720105301902e-29,"31","Trir"
1.06761284247164e-33,0.577455514886792,0.399,0.237,2.67394312525447e-29,"31","Surf4"
1.19787263048427e-33,0.318998998095644,0.717,0.494,3.00019179031091e-29,"31","Micos13"
1.64477609349666e-33,0.508385410858613,0.276,0.142,4.11950620377173e-29,"31","Lbh"
1.72105698925269e-33,0.702955823216842,0.283,0.151,4.31055933528228e-29,"31","Nmi"
1.88868444557036e-33,0.534366584641209,0.338,0.188,4.73039906237553e-29,"31","Adam10"
1.93704809139821e-33,0.727356238880487,0.354,0.207,4.85153064971597e-29,"31","Carnmt1"
